"id";"sample_name";"project";"analysis";"run";"gender";"created";"no_mismatches"
62;"1-20";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XY";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
63;"1-23";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XY";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
64;"1-25";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XY";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
65;"1-31";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XY";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
66;"1-34";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XX";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
67;"1-38";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XY";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
68;"1-39";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XX";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
69;"1-40";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XY";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
70;"1-41";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XY";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
71;"1-42";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XX";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
72;"1-43";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XX";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
73;"1-44";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XY";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
74;"1-45";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XX";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
75;"1-46";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XX";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
76;"1-47";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XX";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
77;"1-48";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XY";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
78;"5-09";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XX";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
79;"5-20";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XX";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
80;"5-22";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XX";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
81;"5-23";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XY";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
82;"5-24";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XX";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
83;"5-25";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XY";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
84;"5-33";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XX";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
85;"5-34";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XY";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
86;"5-35";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XX";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
87;"5-36";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XX";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
88;"5-37";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XY";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
89;"5-38";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XX";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
90;"5-39";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XX";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
91;"5-49";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XY";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
92;"JO23";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XY";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
93;"JO24";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XY";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
94;"MJ1";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XX";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
95;"MJ2";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XY";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
96;"MJ3";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XY";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
97;"MJ4";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XY";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
98;"MJ5";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XX";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
99;"MJ6";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XX";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
100;"MJ7";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XX";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
101;"MJ8";"140121";"1.0 - 140121";"user admin@forenseq.uas";"N/A";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
102;"MJ9";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XX";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
